dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
12699,5G506,Gretchen,G506,7105,12/27/06,F,6/16/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,35803,19014,10/14/08,7/16/10,,Foster for breeding dog
12481,9G406,Gayle,G406,7105,10/11/06,F,10/25/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,35810,17365,9/22/08,10/25/11,,Foster for breeding dog
14205,1LL08,Lois,LL08,7105,5/21/08,F,9/24/13,98,Golden Retriever,BRD retire genetic reason,Golden,35837,19927,10/23/08,4/16/09,,Puppy Raiser/primary
14448,3I308,Irena,I308,7105,9/6/08,F,1/30/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,35996,18778,11/7/08,3/7/09,5/7/09,Puppy Raiser/primary
13224,9WW07,Winston,WW07,7105,8/17/07,M,10/28/11,98,Labrador Retriever,Dog health problem,Yellow,36117,5620,11/24/08,,,Secondary Raiser
14509,1O308,Keesler,O308,7105,9/21/08,M,5/2/14,98,German Shepherd,BRD retire genetic reason,Black/tan,36179,17784,12/17/08,4/6/10,,Puppy Raiser/primary
12728,3C07,Chanel,C07,7105,1/29/07,F,11/28/12,98,Labrador Retriever,BRD retire genetic reason,Black,36192,19257,12/4/08,11/28/12,,Foster for breeding dog
12720,7B07,Blythe,B07,7105,1/8/07,F,7/22/11,98,Labrador Retriever,BRD retire genetic reason,Black,36211,19053,12/29/08,7/22/11,,Foster for breeding dog
14052,3CC08,Connolly,CC08,7105,4/13/08,F,4/9/14,98,Labrador Retriever,BRD retire genetic reason,Yellow,38585,19774,12/1/09,4/9/14,,Foster for breeding dog
10717,3M304,Moon,M304,7105,7/25/04,F,9/27/10,98,Labrador Retriever,Dog age-too old for reuse,Black,40249,8903,9/27/10,,,Adopter of dog
11066,2B05,Bali,B05,7105,1/5/05,F,9/27/10,98,Labrador Retriever,Dog age-too old for reuse,Black,40250,15420,9/27/10,,,Adopter of dog
10953,4P404,Phyllis,P404,7105,11/9/04,F,9/27/10,98,Labrador Retriever,Dog age-too old for reuse,Yellow,40251,13902,9/27/10,,,Adopter of dog
11883,1E06,Edna,E06,7105,1/12/06,F,9/13/11,98,Labrador Retriever,Dog age-too old for reuse,Black,40303,10717,10/3/10,12/13/13,,Home Whelp/Litter Caretaker
11214,4V05,Valerie,V05,7105,3/15/05,F,10/6/11,98,Labrador Retriever,Dog age-too old for reuse,Black,40304,16241,10/3/10,12/13/13,,Home Whelp/Litter Caretaker
10646,3E304,Eileen,E304,7105,7/4/04,F,6/22/10,98,Labrador Retriever,BRD retire genetic reason,Yellow,40306,21297,10/3/10,12/13/13,,Home Whelp/Litter Caretaker
15073,9OO09,Olga,OO09,7105,7/9/09,F,12/12/11,98,Labrador Retriever,Dog health problem,Yellow,41142,22633,2/25/11,12/12/11,,Foster for breeding dog
15134,4D309,Devin,D309,7105,8/22/09,M,5/2/14,98,German Shepherd,BRD retire genetic reason,Black/tan,42933,23996,6/15/11,5/2/14,,Foster for breeding dog
16651,9T311,Thyme,T311,7105,10/5/11,F,5/29/15,98,Labrador Retriever,Dog health problem,Yellow,42953,17947,12/13/11,4/30/13,,Puppy Raiser/primary
